system:time_start,NDVI
"Jan 7, 2018",0.085
"Jan 17, 2018",0.636
"Jan 17, 2018",0.636
"Jan 19, 2018",0.654
"Jan 19, 2018",0.654
"Jan 22, 2018",
"Feb 1, 2018",0.697
"Feb 6, 2018",0.587
"Feb 11, 2018",0.553
"Feb 11, 2018",0.545
"Feb 16, 2018",0.652
"Apr 19, 2018",0.842
"Apr 19, 2018",0.844
"Apr 22, 2018",0.854
"Apr 22, 2018",0.864
"May 4, 2018",0.865
"May 7, 2018",0.885
"May 7, 2018",0.878
"May 14, 2018",0.653
"May 14, 2018",0.661
"May 17, 2018",0.58
"May 17, 2018",0.581
"May 19, 2018",0.535
"May 19, 2018",0.536
"May 22, 2018",0.509
"Jun 3, 2018",0.641
"Jun 6, 2018",
"Jun 8, 2018",0.201
"Jun 11, 2018",0.761
"Jun 18, 2018",0.739
"Jun 18, 2018",0.738
"Jun 21, 2018",0.747
"Jun 26, 2018",0.473
"Jun 26, 2018",0.477
"Jun 28, 2018",0.431
"Jun 28, 2018",0.422
"Jul 3, 2018",0.37
"Jul 3, 2018",0.373
"Jul 8, 2018",0.35
"Jul 11, 2018",0.336
"Jul 13, 2018",0.308
"Jul 28, 2018",0.334
"Aug 2, 2018",0.312
"Aug 2, 2018",0.313
"Aug 7, 2018",0.307
"Aug 7, 2018",0.308
"Sep 1, 2018",0.697
"Sep 1, 2018",0.701
"Sep 6, 2018",0.734
"Sep 24, 2018",0.754
"Sep 24, 2018",0.756
"Sep 26, 2018",0.739
"Sep 26, 2018",0.743
"Sep 29, 2018",0.733
"Oct 1, 2018",0.741
"Oct 1, 2018",0.748
"Oct 9, 2018",0.761
"Oct 9, 2018",0.764
"Oct 16, 2018",0.443
"Oct 16, 2018",0.463
"Oct 19, 2018",0.781
"Oct 19, 2018",0.788
"Oct 21, 2018",0.774
"Oct 21, 2018",0.782
"Oct 21, 2018",0.783
"Oct 21, 2018",0.78
"Oct 24, 2018",0.755
"Oct 29, 2018",0.799
"Oct 29, 2018",0.796
"Oct 31, 2018",0.766
"Nov 10, 2018",0.759
"Nov 13, 2018",0.775
"Nov 13, 2018",0.771
"Nov 18, 2018",0.776
"Nov 18, 2018",0.775
"Nov 30, 2018",0.733
"Nov 30, 2018",0.732
"Dec 20, 2018",
"Jan 17, 2019",0.793
"Jan 17, 2019",0.781
"Jan 22, 2019",0.768
"Feb 23, 2019",0.685
"Feb 23, 2019",0.699
"Feb 26, 2019",0.734
"Feb 26, 2019",0.734
"Mar 5, 2019",0.668
"Mar 25, 2019",0.677
"Mar 30, 2019",0.818
"Mar 30, 2019",0.819
"Apr 19, 2019",0.725
"May 14, 2019",0.755
"Jun 28, 2019",
"Jul 16, 2019",0.533
"Jul 23, 2019",0.557
"Jul 23, 2019",0.554
"Aug 20, 2019",
"Aug 22, 2019",0.638
"Aug 22, 2019",0.639
"Aug 25, 2019",0.614
"Aug 25, 2019",0.62
"Aug 27, 2019",0.582
"Aug 27, 2019",0.575
"Sep 4, 2019",0.607
"Sep 4, 2019",0.605
"Sep 14, 2019",0.56
"Sep 14, 2019",0.559
"Sep 19, 2019",0.524
"Sep 19, 2019",0.525
"Sep 21, 2019",0.512
"Sep 21, 2019",0.516
"Nov 10, 2019",0.796
"Nov 13, 2019",0.806
"Nov 18, 2019",0.771
"Nov 18, 2019",0.769
"Nov 30, 2019",0.804
"Dec 3, 2019",0.162
"Dec 8, 2019",0.771
"Dec 8, 2019",0.772
"Dec 23, 2019",0.761
"Dec 23, 2019",0.761
"Dec 25, 2019",0.767
"Dec 25, 2019",0.766
"Dec 30, 2019",0.706
"Dec 30, 2019",0.705
"Jan 9, 2020",0.725
"Jan 19, 2020",0.747
"Jan 19, 2020",0.773
"Jan 29, 2020",0.723
"Jan 29, 2020",0.756
"Feb 1, 2020",0.153
"Feb 6, 2020",0.119
"Feb 6, 2020",0.127
"Mar 12, 2020",0.819
"Mar 24, 2020",0.785
"Mar 24, 2020",0.787
"Mar 27, 2020",0.79
"Mar 27, 2020",0.79
"Apr 6, 2020",0.612
"Apr 6, 2020",0.611
"Apr 11, 2020",0.813
"Apr 11, 2020",0.8
"Apr 21, 2020",0.814
"Apr 21, 2020",0.814
"Apr 23, 2020",0.835
"Apr 23, 2020",0.832
"Apr 26, 2020",0.832
"May 6, 2020",0.851
"May 6, 2020",0.849
"May 18, 2020",0.8
"May 21, 2020",0.772
"May 21, 2020",0.771
"May 26, 2020",
"May 28, 2020",0.685
"May 28, 2020",0.676
"May 31, 2020",0.665
"May 31, 2020",0.663
"Jun 22, 2020",0.671
"Jun 25, 2020",0.647
"Jun 25, 2020",0.636
"Jul 5, 2020",0.667
"Jul 20, 2020",0.568
"Jul 30, 2020",
"Aug 9, 2020",0.393
"Aug 9, 2020",0.386
"Aug 11, 2020",0.362
"Sep 13, 2020",0.454
"Sep 13, 2020",0.456
"Sep 15, 2020",0.403
"Sep 15, 2020",0.401
"Sep 18, 2020",0.461
"Sep 18, 2020",0.473
"Sep 20, 2020",0.432
"Nov 4, 2020",0.845
"Nov 4, 2020",0.843
"Nov 7, 2020",0.772
"Dec 17, 2020",0.795
"Dec 17, 2020",0.777
"Dec 19, 2020",0.567
"Dec 19, 2020",0.555
"Dec 24, 2020",0.825
"Dec 24, 2020",0.808
"Dec 27, 2020",0.827
"Dec 27, 2020",0.826
"Feb 27, 2021",0.703
"Feb 27, 2021",0.702
"Mar 9, 2021",0.43
"Mar 9, 2021",0.426
"Mar 19, 2021",0.111
"Mar 19, 2021",0.11
"Mar 29, 2021",0.46
"Mar 29, 2021",0.458
"Apr 18, 2021",
"Apr 18, 2021",
"Apr 23, 2021",0.503
"Apr 23, 2021",0.502
"Apr 26, 2021",0.516
"May 31, 2021",0.375
"May 31, 2021",0.378
"Jun 5, 2021",0.385
"Jun 5, 2021",0.385
"Jul 17, 2021",0.359
"Jul 17, 2021",0.359
"Jul 20, 2021",0.353
"Jul 20, 2021",0.352
"Jul 22, 2021",0.369
"Jul 22, 2021",0.368
"Aug 11, 2021",0.416
"Sep 5, 2021",0.427
"Sep 5, 2021",0.42
"Sep 8, 2021",0.422
"Sep 8, 2021",0.423
"Sep 18, 2021",0.127
"Sep 18, 2021",0.125
"Oct 3, 2021",0.447
"Oct 3, 2021",0.445
"Nov 2, 2021",0.467
"Nov 9, 2021",0.264
"Nov 17, 2021",0.428
"Nov 22, 2021",0.424
"Nov 22, 2021",0.424
"Dec 2, 2021",0.44
"Dec 2, 2021",0.44
"Dec 4, 2021",0.423
"Dec 4, 2021",0.422
"Dec 9, 2021",0.412
"Jan 13, 2022",0.396
"Jan 13, 2022",0.39
"Jan 31, 2022",0.372
"Feb 17, 2022",0.33
"Feb 25, 2022",0.357
"Feb 25, 2022",0.355
"Feb 27, 2022",0.344
"Feb 27, 2022",0.343
"Mar 17, 2022",0.378
"Mar 17, 2022",0.375
"Mar 19, 2022",0.363
"Mar 19, 2022",0.362
"Mar 24, 2022",0.361
"Mar 24, 2022",0.357
"Apr 16, 2022",0.387
"Apr 26, 2022",0.321
"May 8, 2022",0.3
"May 8, 2022",0.303
"May 18, 2022",0.278
"Jun 15, 2022",0.251
"Jun 17, 2022",0.243
"Jun 20, 2022",0.249
"Jun 22, 2022",0.218
"Jun 22, 2022",0.225
"Jul 10, 2022",0.183
"Jul 10, 2022",0.186
"Jul 15, 2022",0.152
"Aug 9, 2022",0.155
"Aug 9, 2022",0.152
"Aug 11, 2022",0.14
"Aug 11, 2022",0.141
"Aug 26, 2022",0.149
"Oct 8, 2022",0.309
"Oct 8, 2022",0.307
"Oct 10, 2022",0.317
"Oct 18, 2022",0.319
"Oct 18, 2022",0.321
"Nov 4, 2022",0.342
"Nov 4, 2022",0.339
"Jan 11, 2023",0.289
"Jan 13, 2023",0.224
"Jan 18, 2023",0.308
"Jan 21, 2023",0.305
"Jan 21, 2023",0.3
"Feb 7, 2023",0.052
"Feb 15, 2023",0.23
"Mar 2, 2023",0.239
"May 26, 2023",0.302
"May 26, 2023",0.302
"Jun 5, 2023",0.033
"Jun 7, 2023",0.277
"Jun 10, 2023",0.259
"Jul 7, 2023",0.191
"Jul 7, 2023",0.205
"Aug 21, 2023",0.054
"Sep 5, 2023",0.269
"Sep 5, 2023",0.266
"Sep 15, 2023",0.237
"Sep 15, 2023",0.235
"Oct 15, 2023",0.3
"Nov 7, 2023",0.325
"Nov 17, 2023",0.352
"Nov 17, 2023",0.349
"Jan 11, 2024",0.133
"Jan 16, 2024",0.287
"Jan 18, 2024",0.29
"Jan 18, 2024",0.287
"Jan 26, 2024",0.301
"Jan 26, 2024",0.306
"Feb 12, 2024",0.295
"Feb 12, 2024",0.296
"May 7, 2024",0.361
"May 7, 2024",0.363
"May 20, 2024",0.338
"May 20, 2024",0.338
"Jun 21, 2024",0.308
"Jun 26, 2024",0.295
"Jun 26, 2024",0.297
"Jul 19, 2024",0.29
"Jul 29, 2024",0.301
"Jul 29, 2024",0.301
"Jul 31, 2024",0.294
"Aug 23, 2024",0.257
"Aug 25, 2024",
"Sep 14, 2024",0.252
"Sep 19, 2024",0.254
"Sep 19, 2024",0.251
"Oct 24, 2024",0.35
"Oct 24, 2024",0.347
"Nov 26, 2024",0.378
"Nov 26, 2024",0.378
"Jan 2, 2025",0.36
"Jan 2, 2025",0.367
"Jan 25, 2025",0.384
"Jan 30, 2025",0.369
"Jan 30, 2025",0.358
"Feb 6, 2025",0.348
"Mar 1, 2025",0.133
"Mar 3, 2025",0.317
"Mar 3, 2025",0.317
"Mar 6, 2025",0.308
"Mar 6, 2025",0.306
"Mar 16, 2025",
"Mar 18, 2025",0.312
"Mar 18, 2025",0.311
"Mar 20, 2025",0.288
"Mar 20, 2025",0.287
"Mar 30, 2025",0.304
"Mar 30, 2025",0.304
"Apr 2, 2025",0.314
"Apr 2, 2025",0.314
"Apr 2, 2025",0.318
"Apr 2, 2025",0.317
"Apr 5, 2025",0.33
"Apr 5, 2025",0.329
"Apr 7, 2025",0.328
"Apr 7, 2025",0.327
"Apr 17, 2025",0.33
"Apr 17, 2025",0.33
"Apr 27, 2025",0.345
"Apr 27, 2025",0.344
"Apr 29, 2025",0.333
"Apr 29, 2025",0.333
"Apr 30, 2025",0.341
"Apr 30, 2025",0.342
"May 2, 2025",0.314
"May 2, 2025",0.318
"May 2, 2025",0.317
"May 10, 2025",
"May 17, 2025",0.308
"Jun 18, 2025",0.255
"Jun 19, 2025",0.26
"Jun 19, 2025",0.263
"Jul 8, 2025",0.203
"Jul 8, 2025",0.204
"Jul 9, 2025",0.1
"Jul 11, 2025",0.195
"Jul 11, 2025",0.195
"Jul 11, 2025",0.198
"Jul 11, 2025",0.198
"Jul 16, 2025",0.179
"Aug 10, 2025",0.149
"Aug 10, 2025",0.19
"Aug 15, 2025",0.216
"Aug 15, 2025",0.216
"Aug 17, 2025",0.2
"Aug 17, 2025",0.199
"Aug 25, 2025",0.207
"Aug 25, 2025",0.207
"Sep 19, 2025",0.286
"Sep 19, 2025",0.285
"Sep 19, 2025",0.287
"Sep 22, 2025",0.282
"Oct 6, 2025",0.281
"Oct 6, 2025",0.28
"Oct 9, 2025",
"Oct 24, 2025",0.354
"Oct 24, 2025",0.352
"Nov 1, 2025",0.35
"Nov 23, 2025",0.395
"Nov 25, 2025",0.304
"Nov 26, 2025",0.35
"Nov 28, 2025",
"Dec 3, 2025",0.363
"Dec 13, 2025",0.348
"Dec 13, 2025",0.353
"Dec 25, 2025",0.309
"Dec 31, 2025",0.28
"Jan 2, 2026",0.349
"Jan 2, 2026",0.358
"Jan 5, 2026",0.333
"Jan 5, 2026",0.332
"Jan 7, 2026",0.339
"Feb 4, 2026",0.22
"Feb 14, 2026",0.335
"Feb 14, 2026",0.335
